"scenario_key","metric","baseline","current","diff"
"current_status","count","987","987","0"
"current_status","freq","33.3","33.3","0"
"current_status","value_yearly_jod_ct","1.15","1.15","0"
"poverty_line","count","1845","1845","0"
"poverty_line","freq","62.3","62.3","0"
"poverty_line","value_yearly_jod_ct","2.2","2.2","0"
"mortality_year1","count","1412","1412","0"
"mortality_year1","freq","47.7","47.7","0"
"mortality_year1","value_yearly_jod_ct","1.72","1.72","0"
"mortality_year2","count","1359","1359","0"
"mortality_year2","freq","45.9","45.9","0"
"mortality_year2","value_yearly_jod_ct","1.64","1.64","0"
"mortality_year3","count","1307","1307","0"
"mortality_year3","freq","44.1","44.1","0"
"mortality_year3","value_yearly_jod_ct","1.58","1.58","0"
"mortality_year4","count","1291","1291","0"
"mortality_year4","freq","43.6","43.6","0"
"mortality_year4","value_yearly_jod_ct","1.56","1.56","0"
"mortality_year5","count","1284","1284","0"
"mortality_year5","freq","43.4","43.4","0"
"mortality_year5","value_yearly_jod_ct","1.55","1.55","0"
